GEOID,B01003_001E_x,B02001_002E_x,B01001_026E_x,B01003_001M_x,B02001_002T,B01001_026T,B01003_001E_y,B01003_001M_y,B02001_002E_y,B02001_002M,B01001_026E_y,B01001_026M,state,county,tract
10003013608,1901.4554455445545,1519.3781008150029,938.8712798039757,229.8576957023559,275.639270718526,128.88445211550786,2206,567,1611,565,1151,299,10,003,013608
10003013610,6123.563258911085,4967.766419947977,3253.887375584976,641.2159288902453,659.9470090877991,417.19280551751814,5510,967,4278,475,2746,489,10,003,013610
10003013611,5776.549242424242,4814.365794856983,2905.6511077212776,409.805481544843,531.315802939454,345.66172851445316,6106,916,3937,822,3000,522,10,003,013611
10003013612,6160.0,5187.740655682269,3135.0227831326533,435.6954891900139,477.59149215754945,337.7918047966091,5804,570,3819,380,3125,418,10,003,013612
10003013613,5574.519975681778,4802.10654367627,2919.717456042705,555.858798132145,624.9991156433668,360.47082129502394,5702,699,5105,678,3181,480,10,003,013613
10003013614,3075.403846153846,2854.484716944044,1671.3012383698074,550.11280844094,669.4027027562212,403.6178469037501,2690,378,2131,344,1380,244,10,003,013614
10003013615,3699.5445544554455,3343.2419122048295,1988.7109434314277,483.7445240199607,638.158363385926,414.9320972512976,3486,489,3152,524,1759,262,10,003,013615
10003013700,3904.0,3161.256549585384,2090.220602885283,562.424049990755,498.4018419217763,353.2563786608008,4184,510,3048,498,2234,423,10,003,013700
10003013800,5585.025999504713,3823.14834282401,2867.31474328216,710.3432130555955,488.0380051399813,316.3509010630948,5625,753,3598,419,2886,397,10,003,013800
10003013901,2835.020408163265,1775.4860859509215,1665.9111078430717,551.6745831134072,359.62901787802565,334.6666758052814,3018,515,1921,548,1634,431,10,003,013901
10003013903,4983.0,3126.1072345890416,2466.9689640410957,258.44002634621927,449.68004412981685,241.05190302904697,5073,755,2752,428,2592,441,10,003,013903
10003013905,3794.683609366077,2097.9053093714315,2040.9961055617775,480.25551174762876,314.3365306889903,299.5702974691697,3630,759,1664,375,1802,345,10,003,013905
10003013906,3869.1142897935874,2144.561324062444,2079.998324434223,723.3677618198509,482.5369915209501,459.13108346417494,4827,694,2401,787,2044,289,10,003,013906
10003014000,5233.1662082874955,3886.1155151249977,2607.391883508454,727.99133357035,645.323514078487,464.5411523242339,5320,1125,2716,562,2476,463,10,003,014000
10003014100,4842.230952380953,3380.461912377906,2530.506139448982,550.2371268923551,582.6379060791337,415.23625851511025,4284,664,2531,419,2357,394,10,003,014100
10003014200,1627.0,1382.4509202453987,853.4263803680981,231.13176682925504,263.67332413440346,133.01659263271503,1761,226,1322,181,964,118,10,003,014200
